"HCAT3_level6_name","HCAT3_level6_code","HCAT3_level3_name","HCAT3_level3_code"
"common_soft_wheat",3301010100,"arable_crops",3301000000
"winter_common_soft_wheat",3301010101,"arable_crops",3301000000
"spring_common_soft_wheat",3301010102,"arable_crops",3301000000
"rye",3301010300,"arable_crops",3301000000
"barley",3301010400,"arable_crops",3301000000
"winter_barley",3301010401,"arable_crops",3301000000
"spring_barley",3301010402,"arable_crops",3301000000
"oats",3301010500,"arable_crops",3301000000
"grain_maize_corn_popcorn",3301010600,"arable_crops",3301000000
"rice",3301010700,"arable_crops",3301000000
"triticale",3301010800,"arable_crops",3301000000
"winter_triticale",3301010801,"arable_crops",3301000000
"spring_triticale",3301010802,"arable_crops",3301000000
"millet_sorghum",3301010900,"arable_crops",3301000000
"spelt",3301011000,"arable_crops",3301000000
"winter_spelt",3301011001,"arable_crops",3301000000
"spring_spelt",3301011002,"arable_crops",3301000000
"canary_seed_canaryseed",3301011400,"arable_crops",3301000000
"unspecified_cereals",3301011500,"arable_crops",3301000000
"other_cereals",3301019900,"arable_crops",3301000000
"legumes_dried_pulses_protein_crops",3301020000,"arable_crops",3301000000
"beans",3301020100,"arable_crops",3301000000
"chickpeas",3301020200,"arable_crops",3301000000
"esparsette_onobrychis",3301020300,"arable_crops",3301000000
"lentils",3301020500,"arable_crops",3301000000
"peas",3301020600,"arable_crops",3301000000
"sweet_lupins",3301020700,"arable_crops",3301000000
"potatoes",3301030000,"arable_crops",3301000000
"sweet_potatoes",3301040000,"arable_crops",3301000000
"hops",3301060200,"arable_crops",3301000000
"rapeseed_rape",3301060400,"arable_crops",3301000000
"winter_rapeseed_rape",3301060401,"arable_crops",3301000000
"spring_rapeseed_rape",3301060402,"arable_crops",3301000000
"summer_rapeseed_rape",3301060403,"arable_crops",3301000000
"sunflower",3301060500,"arable_crops",3301000000
"flax_linen",3301060701,"arable_crops",3301000000
"flax_linseed_oil",3301060702,"arable_crops",3301000000
"oilseed_crops",3301060800,"arable_crops",3301000000
"hemp_cannabis",3301061000,"arable_crops",3301000000
"finola",3301061001,"arable_crops",3301000000
"aromatic_medicinal_culinary_plants_spices_herbs",3301061200,"arable_crops",3301000000
"anethum_dill",3301061203,"arable_crops",3301000000
"angelica",3301061204,"arable_crops",3301000000
"anise_aniseed",3301061205,"arable_crops",3301000000
"black_cumin",3301061208,"arable_crops",3301000000
"borage",3301061209,"arable_crops",3301000000
"calendula_marigold",3301061210,"arable_crops",3301000000
"caraway",3301061211,"arable_crops",3301000000
"catnip",3301061212,"arable_crops",3301000000
"chamomile",3301061213,"arable_crops",3301000000
"coriander",3301061215,"arable_crops",3301000000
"lavender_lavandula",3301061219,"arable_crops",3301000000
"lemon_balm_melissa",3301061220,"arable_crops",3301000000
"mints_peppermint",3301061222,"arable_crops",3301000000
"moldavian_dragonhead",3301061223,"arable_crops",3301000000
"oregano",3301061226,"arable_crops",3301000000
"parsly",3301061227,"arable_crops",3301000000
"piper_pepper",3301061228,"arable_crops",3301000000
"st_johns_wort",3301061234,"arable_crops",3301000000
"yarrow",3301061239,"arable_crops",3301000000
"marian_thistles",3301061300,"arable_crops",3301000000
"phacelia",3301061400,"arable_crops",3301000000
"onobrychis_sainfoins",3301061600,"arable_crops",3301000000
"other_industrial_crops",3301069900,"arable_crops",3301000000
"fresh_vegetables",3301070000,"arable_crops",3301000000
"flowers_ornamental_plants",3301080000,"arable_crops",3301000000
"cornflowers",3301081000,"arable_crops",3301000000
"dandelions",3301081400,"arable_crops",3301000000
"fiddleneck_amsinckia",3301081700,"arable_crops",3301000000
"galega",3301081900,"arable_crops",3301000000
"lotus",3301082600,"arable_crops",3301000000
"primrose",3301083500,"arable_crops",3301000000
"roses",3301083700,"arable_crops",3301000000
"temporary_grass",3301090100,"arable_crops",3301000000
"festuca_fescue",3301090202,"arable_crops",3301000000
"lolium_ryegrass",3301090205,"arable_crops",3301000000
"switchgrass",3301090208,"arable_crops",3301000000
"timothy",3301090209,"arable_crops",3301000000
"legumes_harvested_green",3301090300,"arable_crops",3301000000
"alfalfa_lucerne",3301090301,"arable_crops",3301000000
"clover",3301090303,"arable_crops",3301000000
"melilot",3301090304,"arable_crops",3301000000
"vetches",3301090305,"arable_crops",3301000000
"fallow_land_not_crop",3301110000,"arable_crops",3301000000
"kitchen_gardens",3301120000,"arable_crops",3301000000
"strawberries",3301130000,"arable_crops",3301000000
"cucurbits",3301140000,"arable_crops",3301000000
"cucumber_pickle",3301140100,"arable_crops",3301000000
"melon",3301140300,"arable_crops",3301000000
"pumpkin_squash_gourd",3301140400,"arable_crops",3301000000
"watermelon",3301140500,"arable_crops",3301000000
"zucchini_courgette",3301140600,"arable_crops",3301000000
"buckwheat",3301150200,"arable_crops",3301000000
"soy_soybeans",3301160000,"arable_crops",3301000000
"fennel",3301170000,"arable_crops",3301000000
"topinambur_jerusalem_artichoke",3301180000,"arable_crops",3301000000
"asparagus",3301200000,"arable_crops",3301000000
"mustard",3301210100,"arable_crops",3301000000
"brassica_oleracea_cabbage",3301210200,"arable_crops",3301000000
"broccoli",3301210202,"arable_crops",3301000000
"cauliflower",3301210204,"arable_crops",3301000000
"kale",3301210208,"arable_crops",3301000000
"white_cabbage",3301210212,"arable_crops",3301000000
"cress",3301210300,"arable_crops",3301000000
"horseradish",3301210400,"arable_crops",3301000000
"swede_rutabaga",3301210500,"arable_crops",3301000000
"alliums",3301220000,"arable_crops",3301000000
"garlic",3301220200,"arable_crops",3301000000
"leek",3301220300,"arable_crops",3301000000
"onions",3301220400,"arable_crops",3301000000
"rhubarb",3301230000,"arable_crops",3301000000
"celery",3301250000,"arable_crops",3301000000
"leaf_celery",3301250200,"arable_crops",3301000000
"aubergine_eggplant",3301260000,"arable_crops",3301000000
"tomato",3301280000,"arable_crops",3301000000
"beetroot_beets",3301290200,"arable_crops",3301000000
"carrots_daucus",3301290300,"arable_crops",3301000000
"mangelwurzel_fodder_beet",3301290400,"arable_crops",3301000000
"parsnips",3301290500,"arable_crops",3301000000
"radish",3301290600,"arable_crops",3301000000
"sugar_beet",3301290700,"arable_crops",3301000000
"turnips",3301290800,"arable_crops",3301000000
"bell_pepper_paprika",3301300100,"arable_crops",3301000000
"salads_lettuce_leaf_vegetables",3301310000,"arable_crops",3301000000
"chicory_chicories",3301310200,"arable_crops",3301000000
"iceberg",3301310400,"arable_crops",3301000000
"sorrel",3301310700,"arable_crops",3301000000
"spinach",3301310800,"arable_crops",3301000000
"other_arable_land_crops",3301990000,"arable_crops",3301000000
"pasture_meadow_grassland_grass",3302000000,"pasture_meadow_grassland_grass",3302000000
"permanent_crops_perennial",3303000000,"permanent_crops_perennial",3303000000
"orchards_fruits",3303010000,"permanent_crops_perennial",3303000000
"apples",3303010200,"permanent_crops_perennial",3303000000
"apricots",3303010300,"permanent_crops_perennial",3303000000
"cherry_cherries",3303010400,"permanent_crops_perennial",3303000000
"fig",3303010600,"permanent_crops_perennial",3303000000
"kiwi",3303010700,"permanent_crops_perennial",3303000000
"peach",3303011100,"permanent_crops_perennial",3303000000
"pears",3303011200,"permanent_crops_perennial",3303000000
"plums",3303011300,"permanent_crops_perennial",3303000000
"pomegranate",3303011400,"permanent_crops_perennial",3303000000
"quinces",3303011500,"permanent_crops_perennial",3303000000
"berries_berry_species",3303020000,"permanent_crops_perennial",3303000000
"aronia_chokeberries",3303020100,"permanent_crops_perennial",3303000000
"blackberry",3303020200,"permanent_crops_perennial",3303000000
"blackcurrant_cassis",3303020300,"permanent_crops_perennial",3303000000
"blueberry",3303020400,"permanent_crops_perennial",3303000000
"cranberry",3303020500,"permanent_crops_perennial",3303000000
"currants",3303020600,"permanent_crops_perennial",3303000000
"gooseberry_gooseberries_cranberries",3303020700,"permanent_crops_perennial",3303000000
"hippophae_sea_buckthorns_seaberry",3303020800,"permanent_crops_perennial",3303000000
"raspberry_raspberries",3303021000,"permanent_crops_perennial",3303000000
"redcurrant",3303021100,"permanent_crops_perennial",3303000000
"rowan_rowanberries",3303021300,"permanent_crops_perennial",3303000000
"nuts",3303030000,"permanent_crops_perennial",3303000000
"almond",3303030100,"permanent_crops_perennial",3303000000
"hazelnuts_hazel",3303030200,"permanent_crops_perennial",3303000000
"pistachio",3303030400,"permanent_crops_perennial",3303000000
"sweet_chestnuts",3303030500,"permanent_crops_perennial",3303000000
"citrus_plantations",3303040000,"permanent_crops_perennial",3303000000
"olive_plantations",3303050000,"permanent_crops_perennial",3303000000
"vineyards_wine_vine_rebland_grapes",3303060000,"permanent_crops_perennial",3303000000
"nurseries_nursery",3303070000,"permanent_crops_perennial",3303000000
"elder_elderberry",3303080400,"permanent_crops_perennial",3303000000
"honeysuckle",3303080500,"permanent_crops_perennial",3303000000
"wire_bush",3303080700,"permanent_crops_perennial",3303000000
"avocado",3303100000,"permanent_crops_perennial",3303000000
"unspecified_permanent_crops",3303120000,"permanent_crops_perennial",3303000000
"other_permanent_crops_plantations",3303990000,"permanent_crops_perennial",3303000000
"sida_virginia_mallow",3304030000,"mushrooms_energy_genetically_modified_crops",3304000000
"tree_wood_forest",3306000000,"tree_wood_forest",3306000000
"aspen",3306020000,"tree_wood_forest",3306000000
"eucalyptus",3306050000,"tree_wood_forest",3306000000
"oak",3306060000,"tree_wood_forest",3306000000
"willows_osiers",3306080000,"tree_wood_forest",3306000000
"not_known_and_other",3399000000,"not_known_and_other",3399000000
